[ 2025-02-10 16:32:44,531 ] 19 root - INFO - Initiate the data ingestion
[ 2025-02-10 16:32:49,038 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-02-10 16:32:49,038 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-10 16:32:49,038 ] 75 root - INFO - Exporting train and test file path.
[ 2025-02-10 16:32:49,069 ] 84 root - INFO - Exported train and test file path.
[ 2025-02-10 16:32:49,069 ] 21 root - INFO - Data Initiation Completed
[ 2025-02-10 16:32:49,072 ] 25 root - INFO - Initiate the data Validation
[ 2025-02-10 16:32:49,083 ] 32 root - INFO - Required number of columns:2
[ 2025-02-10 16:32:49,083 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-10 16:32:49,083 ] 32 root - INFO - Required number of columns:2
[ 2025-02-10 16:32:49,083 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-10 16:32:49,178 ] 27 root - INFO - data Validation Completed
[ 2025-02-10 16:32:49,178 ] 30 root - INFO - data Transformation started
[ 2025-02-10 16:32:49,178 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-02-10 16:32:49,178 ] 65 root - INFO - Starting data transformation
[ 2025-02-10 16:32:49,189 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-02-10 16:32:49,189 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-02-10 16:32:49,193 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-10 16:32:49,194 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-10 16:32:49,195 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-10 16:32:49,195 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-10 16:32:49,195 ] 34 root - INFO - data Transformation completed
[ 2025-02-10 16:32:49,195 ] 35 root - INFO - Model Training sstared
