[ 2025-02-09 22:09:09,568 ] 19 root - INFO - Initiate the data ingestion
[ 2025-02-09 22:09:14,156 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-02-09 22:09:14,156 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-09 22:09:14,157 ] 75 root - INFO - Exporting train and test file path.
[ 2025-02-09 22:09:14,203 ] 84 root - INFO - Exported train and test file path.
[ 2025-02-09 22:09:14,203 ] 21 root - INFO - Data Initiation Completed
[ 2025-02-09 22:09:14,214 ] 25 root - INFO - Initiate the data Validation
[ 2025-02-09 22:09:14,232 ] 32 root - INFO - Required number of columns:2
[ 2025-02-09 22:09:14,232 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-09 22:09:14,232 ] 32 root - INFO - Required number of columns:2
[ 2025-02-09 22:09:14,232 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-09 22:09:14,376 ] 27 root - INFO - data Validation Completed
[ 2025-02-09 22:09:14,376 ] 30 root - INFO - data Transformation started
[ 2025-02-09 22:09:14,377 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-02-09 22:09:14,377 ] 65 root - INFO - Starting data transformation
[ 2025-02-09 22:09:14,397 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-02-09 22:09:14,397 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-02-09 22:09:14,407 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-09 22:09:14,410 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-09 22:09:14,410 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-09 22:09:14,412 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-09 22:09:14,412 ] 34 root - INFO - data Transformation completed
