[ 2025-07-15 22:27:55,518 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-07-15 22:27:57,438 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-07-15 22:27:57,446 ] 107 dagshub - INFO - Accessing as Locvh
[ 2025-07-15 22:27:57,864 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/Locvh/API_ML_2 "HTTP/1.1 200 OK"
[ 2025-07-15 22:27:58,359 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-07-15 22:27:58,362 ] 107 dagshub - INFO - Initialized MLflow to track repo "Locvh/API_ML_2"
[ 2025-07-15 22:27:58,362 ] 107 dagshub - INFO - Repository Locvh/API_ML_2 initialized!
[ 2025-07-15 22:27:58,362 ] 20 root - INFO - Initiate the data ingestion
[ 2025-07-15 22:28:44,260 ] 491 root - INFO - Performed train test split on the dataframe
[ 2025-07-15 22:28:44,264 ] 493 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-07-15 22:28:44,264 ] 501 root - INFO - Exporting train and test file path.
[ 2025-07-15 22:28:44,362 ] 510 root - INFO - Exported train and test file path.
[ 2025-07-15 22:28:44,362 ] 22 root - INFO - Data Initiation Completed
[ 2025-07-15 22:28:44,363 ] 29 root - INFO - Initiate the data Validation
[ 2025-07-15 22:28:44,382 ] 32 root - INFO - Required number of columns:2
[ 2025-07-15 22:28:44,382 ] 33 root - INFO - Data frame has columns:13
[ 2025-07-15 22:28:44,382 ] 32 root - INFO - Required number of columns:2
[ 2025-07-15 22:28:44,382 ] 33 root - INFO - Data frame has columns:13
[ 2025-07-15 22:28:44,529 ] 31 root - INFO - data Validation Completed
[ 2025-07-15 22:28:44,529 ] 37 root - INFO - data Transformation started
[ 2025-07-15 22:28:44,529 ] 241 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-07-15 22:28:44,529 ] 243 root - INFO - Starting data transformation
[ 2025-07-15 22:28:44,547 ] 226 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-07-15 22:28:44,547 ] 231 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-07-15 22:28:44,576 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-15 22:28:44,576 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-15 22:28:44,576 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-15 22:28:44,586 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-15 22:28:44,586 ] 41 root - INFO - data Transformation completed
[ 2025-07-15 22:28:44,586 ] 44 root - INFO - Model Training sstared
[ 2025-07-15 22:38:00,454 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-15 22:38:00,455 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-15 22:38:00,455 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-15 22:38:00,458 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-15 22:38:00,458 ] 152 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/07_15_2025_22_27_55/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9999669060462654, precision_score=0.9999338142828778, recall_score=1.0), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9998676723567553, precision_score=0.9997353797300873, recall_score=1.0))
[ 2025-07-15 22:38:00,461 ] 48 root - INFO - Model Training artifact created
