length,width,height,bkwt,days_until_departure,bkvol,is_dmv,rcsvol,delta_vol,product_type_arm,product_type_avi,product_type_dgr,product_type_gen,product_type_hum,product_type_per,product_type_val,product_type_vun
16.0,14.0,10.0,225.0,2,2240.0,0,2467.295528993894,227.0,0,0,0,0,0,0,0,1
30.0,20.0,18.0,1000.0,3,10800.0,0,8759.135192339585,-2040.0,1,0,0,0,0,0,0,0
18.0,15.0,9.0,154.0,1,2430.0,0,2191.2230911398406,-238.0,0,1,0,0,0,0,0,0
26.0,26.0,4.0,371.0,2,2704.0,0,2402.022572810197,-301.0,0,0,0,0,1,0,0,0
20.0,13.0,17.0,625.0,3,4420.0,0,4678.140189746525,258.0,0,0,0,0,0,1,0,0
38.0,11.0,5.0,200.0,2,2090.0,0,2310.3738933874824,220.0,0,0,0,0,1,0,0,0
70.0,44.0,24.0,18350.0,2,73920.0,0,79251.69591952032,5331.0,1,0,0,0,0,0,0,0
40.0,40.0,8.0,900.0,2,12800.0,0,14073.715387451872,1273.0,1,0,0,0,0,0,0,0
27.0,17.0,13.0,400.0,1,5967.0,0,5163.5496191137445,-803.0,0,0,0,1,0,0,0,0
17.0,12.0,10.0,600.0,1,2040.0,0,2297.4065773475418,257.0,0,0,0,0,0,1,0,0
16.0,16.0,10.0,1100.0,1,2560.0,0,2359.9671511101624,-200.0,0,0,0,0,1,0,0,0
50.0,45.0,19.0,7150.0,1,42750.0,0,50330.27298252787,7580.0,0,0,1,0,0,0,0,0
17.0,17.0,7.0,250.0,3,2023.0,0,2070.636337607078,47.0,0,1,0,0,0,0,0,0
68.0,13.0,11.0,600.0,3,9724.0,0,10406.104114060836,682.0,0,0,0,1,0,0,0,0
17.0,17.0,7.0,200.0,3,2023.0,0,2294.6349317022577,271.0,0,0,0,0,1,0,0,0
16.0,11.0,2.0,800.0,1,352.0,0,349.90274644745773,-2.0,0,0,0,0,1,0,0,0
27.0,20.0,5.0,400.0,2,2700.0,0,2241.119345821616,-458.0,0,0,0,0,0,1,0,0
40.0,20.0,15.0,900.0,1,12000.0,1,15170.78491225265,3170.0,0,0,0,0,0,1,0,0
100.0,15.0,7.0,1700.0,3,10500.0,0,9952.617223119914,-547.0,0,0,1,0,0,0,0,0
