Max_Weight_kg,Max_Volume_m,current_weight,current_volume,num_items_on_aircarft,item_weight,item_volume,weight_left,volume_left,weight_ratio,volume_ratio,label
8000.0,50.0,2185.5204102995594,35.22351658637062,14,1.175,290.7,5814.479589700441,14.776483413629379,0.00020208171370646324,19.67315038290618,1
9450.0,63.0,10272.295151956178,6.476664817359388,13,1.65,57.6,-822.2951519561775,56.523335182640615,-0.0020065787790203484,1.0190481293227354,0
20400.0,136.0,21609.7382435869,1.1009949784652924,14,0.5,21.12,-1209.7382435869004,134.89900502153472,-0.0004133125517556605,0.15656156870887908,1
23500.0,158.4,25543.41796780092,118.27196928014335,1,0.4,131.25,-2043.4179678009205,40.12803071985665,-0.00019575045658731352,3.2707809073788496,0
13040.0,86.9,8248.665476531261,103.1008560332028,11,0.8,80.0,4791.334523468739,-16.200856033202797,0.0001669680954052574,-4.938010977571507,1
47000.0,426.0,41339.17742689275,40.8302542611479,3,0.3,8.36,5660.8225731072525,385.1697457388521,5.299583162563824e-05,0.021704716091495473,1
20500.0,136.7,3467.0336038057444,4.585203400350332,2,3.05,74.8,17032.966396194257,132.11479659964965,0.00017906452281279722,0.5661742769092988,1
43500.0,390.0,51402.48491427129,435.54225958385047,7,0.3,120.0,-7902.484914271292,-45.542259583850466,-3.7962742516114817e-05,-2.6349154330820266,0
18000.0,90.0,18983.41600082314,92.31781324526756,10,0.15,125.0,-983.4160008231411,-2.3178132452675584,-0.00015252955008559572,-53.9301663692654,0
17120.0,114.1,9837.653076841323,114.87309020866962,5,0.375,37.44,7282.346923158677,-0.773090208669629,5.1494388265953614e-05,-48.42908112044229,1
117000.0,625.0,10858.612569111825,443.98384392475043,1,1.7,43.2,106141.38743088818,181.01615607524957,1.601637251153236e-05,0.23865272966789086,1
17120.0,114.1,19105.414563590002,40.36148092974445,12,9.025,719.1,-1985.4145635900022,73.73851907025553,-0.004545650147859678,9.752026475644836,0
140000.0,858.0,117325.61480514913,158.49977746790387,3,1.2,166.25,22674.385194850867,699.5002225320961,5.292315490078139e-05,0.23766968816754314,1
25000.0,166.67,27515.09235476214,70.78565047895177,5,1.5,61.6,-2515.0923547621387,95.88434952104822,-0.0005963995706782942,0.6424406033441064,0
58000.0,438.0,48063.296179975645,517.763924277149,13,2.15,236.25,9936.703820024355,-79.76392427714904,0.000216369536490659,-2.9618653432971427,1
24400.0,162.8,3571.016984996191,40.168359550755284,14,0.132,22.1,20828.98301500381,122.63164044924473,6.337323329640179e-06,0.1802145004244018,1
9450.0,63.0,4271.730791045082,74.69040519195643,13,0.6,48.0,5178.269208954918,-11.69040519195643,0.00011586883100757589,-4.105931600981457,1
20400.0,136.0,24113.34249001532,58.5874745573708,0,6.2,225.0,-3713.3424900153186,77.4125254426292,-0.0016696547701540124,2.9065063541977096,0
