[ 2025-07-15 22:57:18,308 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-07-15 22:57:21,397 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-07-15 22:57:21,400 ] 107 dagshub - INFO - Accessing as Locvh
[ 2025-07-15 22:57:21,978 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/Locvh/API_ML_2 "HTTP/1.1 200 OK"
[ 2025-07-15 22:57:22,885 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-07-15 22:57:22,888 ] 107 dagshub - INFO - Initialized MLflow to track repo "Locvh/API_ML_2"
[ 2025-07-15 22:57:22,888 ] 107 dagshub - INFO - Repository Locvh/API_ML_2 initialized!
[ 2025-07-15 22:57:22,888 ] 20 root - INFO - Initiate the data ingestion
[ 2025-07-15 22:58:03,967 ] 491 root - INFO - Performed train test split on the dataframe
[ 2025-07-15 22:58:03,968 ] 493 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-07-15 22:58:03,968 ] 501 root - INFO - Exporting train and test file path.
[ 2025-07-15 22:58:03,969 ] 510 root - INFO - Exported train and test file path.
[ 2025-07-15 22:58:03,970 ] 22 root - INFO - Data Initiation Completed
[ 2025-07-15 22:58:03,971 ] 29 root - INFO - Initiate the data Validation
[ 2025-07-15 22:58:03,973 ] 32 root - INFO - Required number of columns:2
[ 2025-07-15 22:58:03,973 ] 33 root - INFO - Data frame has columns:13
[ 2025-07-15 22:58:03,973 ] 32 root - INFO - Required number of columns:2
[ 2025-07-15 22:58:03,973 ] 33 root - INFO - Data frame has columns:13
[ 2025-07-15 22:58:03,977 ] 31 root - INFO - data Validation Completed
[ 2025-07-15 22:58:03,977 ] 37 root - INFO - data Transformation started
[ 2025-07-15 22:58:03,977 ] 241 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-07-15 22:58:03,977 ] 243 root - INFO - Starting data transformation
[ 2025-07-15 22:58:03,979 ] 226 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-07-15 22:58:03,979 ] 231 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-07-15 22:58:03,980 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-15 22:58:03,981 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-15 22:58:03,981 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-15 22:58:03,981 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-15 22:58:03,981 ] 41 root - INFO - data Transformation completed
[ 2025-07-15 22:58:03,981 ] 44 root - INFO - Model Training sstared
[ 2025-07-15 22:58:24,979 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-15 22:58:24,980 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-15 22:58:24,980 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-15 22:58:24,985 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-15 22:58:24,986 ] 152 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/07_15_2025_22_57_18/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=1.0, precision_score=1.0, recall_score=1.0), test_metric_artifact=ClassificationMetricArtifact(f1_score=1.0, precision_score=1.0, recall_score=1.0))
[ 2025-07-15 22:58:24,986 ] 48 root - INFO - Model Training artifact created
